Symbol,invested_amount,total_value,profit_loss,monthly_return_pct,Year,Month
ICICI Pru Nifty Smallcap 250 Index Fund,7091.33,11914.85,-646.98,-5.43,2026,1
ICICI Pru Nifty Smallcap 250 Index Fund,7091.33,11914.85,-646.98,-5.43,2026,1
Nippon India Index Fund-Nifty 50 Plan,8111.73,11896.32,-645.97,-5.43,2026,1
Nippon India Index Fund-Nifty 50 Plan,8111.73,11896.32,-645.97,-5.43,2026,1
NIPPON INDIA NIFTY 500 MOMENTUM 50 INDEX FUND - DIRECT PLAN,89994.99,88883.69,-3644.23,-4.1,2026,1
MOTILAL OSWAL NIFTY MIDCAP 150 INDEX FUND - DIRECT PLAN,192990.19,217619.16,-8487.15,-3.9,2026,1
MOTILAL OSWAL LARGE AND MIDCAP FUND - DIRECT PLAN,49997.56,48736.66,-2193.15,-4.5,2026,1
Aditya Birla SL Nifty Smallcap 50 Index Fund,7108.97,13336.65,-638.83,-4.79,2026,1
Aditya Birla SL Nifty Midcap 150 Index Fund,9009.17,17146.67,-672.15,-3.92,2026,1
Nippon India Nifty Next 50 Junior BeES FoF,8532.51,14687.48,-358.37,-2.44,2026,1
Nippon India Nifty Smallcap 250 Index Fund,8044.76,13931.59,-753.7,-5.41,2026,1
UTI NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,202989.6,224252.62,-5897.84,-2.63,2026,1
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,180990.6,198570.36,-2958.7,-1.49,2026,1
Aditya Birla SL Nifty Next 50 Index Fund,7312.85,12460.75,-330.21,-2.65,2026,1
Nippon India Nifty Midcap 150 Index Fund,7902.63,15057.4,-588.74,-3.91,2026,1
MOTILAL OSWAL MIDCAP FUND - DIRECT PLAN,130039.56,125704.86,-8874.76,-7.06,2026,1
ICICI Pru Nifty Midcap 150 Index Fund,9032.49,17081.19,-667.87,-3.91,2026,1
TATA DIGITAL INDIA FUND - DIRECT PLAN,197990.14,222473.62,-5361.61,-2.41,2026,1
BANDHAN SMALL CAP FUND - DIRECT PLAN,34998.23,34244.35,-1503.33,-4.39,2026,1
Aditya Birla SL Nifty 50 Index Fund,6863.31,10156.52,-316.88,-3.12,2026,1
ICICI Pru Nifty Next 50 Index Fund,7327.37,12534.24,-329.65,-2.63,2026,1
QUANT FLEXI CAP FUND - DIRECT PLAN,89995.54,91352.65,-5499.43,-6.02,2026,1
HDFC MULTI CAP FUND - DIRECT PLAN,139992.74,145593.57,-6056.69,-4.16,2026,1
KOTAK MULTICAP FUND - DIRECT PLAN,130039.52,137392.72,-6553.63,-4.77,2026,1
Nippon India Short Duration Fund,18285.89,23164.48,13.9,0.06,2026,1
Aditya Birla SL Corp Bond Fund,15544.03,19406.63,-46.58,-0.24,2026,1
Nippon India Pharma Fund(IDCW),6073.65,8023.45,-343.4,-4.28,2026,1
ICICI Pru Nifty 50 Index Fund,11385.55,16962.78,-527.54,-3.11,2026,1
Canara Rob Flexi Cap Fund,61782.83,111023.04,-3519.43,-3.17,2026,1
ICICI Pru Corp Bond Fund,15609.6,19593.71,13.72,0.07,2026,1
Kotak Flexicap Fund,67268.62,128743.73,-888.33,-0.69,2026,1
